#,Color,Source,Original Rank,Parcel ID,Address,Opening Bid,Max Bid,Bid Spread,Drive-By Status,Lien/Title Risk,Entitlement/Zoning Risk,Final Decision,Notes,source_excel_row,red_indicator_detected,strikethrough_detected,crossed_out_indicator_detected,cleaning_action
1,Green,"$900–$1,000",7,44675-92-08-04460,5134 W CHARLES PAGE,907.78,,"=IF(H2="""","""",H2-G2)",Not Checked,Not Checked,Not Checked,Research,,2,False,False,False,kept
2,Green,"$900–$1,000",1,01875-03-19-00200,2612 N TRENTON AV E,962.57,,"=IF(H3="""","""",H3-G3)",Not Checked,Not Checked,Not Checked,Research,,3,False,False,False,kept
3,Blue,"$1,000–$1,500",50,96203-62-03-50220,18911 S 29 AV W,1064.76,,"=IF(H4="""","""",H4-G4)",Not Checked,Not Checked,Not Checked,Research,,4,False,False,False,kept
4,Green,"$1,000–$1,500",36,43300-03-29-09940,2311 N ATLANTA AV E,1179.88,,"=IF(H5="""","""",H5-G5)",Not Checked,Not Checked,Not Checked,Research,,5,False,False,False,kept
5,Green,"$1,000–$1,500",13,40875-02-13-11530,210 E 44 ST N,1184.93,,"=IF(H6="""","""",H6-G6)",Not Checked,Not Checked,Not Checked,Research,,6,False,False,False,kept
6,Green,"$1,000–$1,500",5,24925-02-36-17420,1084 N NORFOLK AV E,1199.79,,"=IF(H7="""","""",H7-G7)",Not Checked,Not Checked,Not Checked,Research,,7,False,False,False,kept
7,Green,"$1,000–$1,500",16,26725-02-25-16640,515 E UTE ST N,1216.55,,"=IF(H8="""","""",H8-G8)",Not Checked,Not Checked,Not Checked,Research,,8,False,False,False,kept
8,Green,"$1,000–$1,500",32,41025-02-01-04710,5901 N GARRISON PL E,1273.2,,"=IF(H9="""","""",H9-G9)",Not Checked,Not Checked,Not Checked,Research,,9,False,False,False,kept
9,Green,"$1,000–$1,500",33,41025-02-01-05430,522 E 59 ST N,1273.2,,"=IF(H10="""","""",H10-G10)",Not Checked,Not Checked,Not Checked,Research,,10,False,False,False,kept
10,Green,"$1,000–$1,500",38,05850-03-30-04070,1844 N TRENTON AV E,1297.53,,"=IF(H11="""","""",H11-G11)",Not Checked,Not Checked,Not Checked,Research,,11,False,False,False,kept
11,Purple,"$1,000–$1,500",28,90212-02-12-26700,1118 E 50 PL N,1317.38,,"=IF(H12="""","""",H12-G12)",Not Checked,Not Checked,Not Checked,Research,,12,False,False,False,kept
12,Green,"$1,000–$1,500",21,05400-02-25-04330,524 E YOUNG ST N,1418.58,,"=IF(H13="""","""",H13-G13)",Not Checked,Not Checked,Not Checked,Research,,13,False,False,False,kept
13,Green,"$1,500–$2,000",2,47175-03-29-18430,1903 N FLORENCE PL E,1549.17,,"=IF(H14="""","""",H14-G14)",Not Checked,Not Checked,Not Checked,Research,,14,False,False,False,kept
14,Green,"$1,500–$2,000",7,38675-93-10-06110,1321 S DARLINGTON AV E,1603.63,,"=IF(H15="""","""",H15-G15)",Not Checked,Not Checked,Not Checked,Research,,15,False,False,False,kept
15,Green,"$1,500–$2,000",12,40250-03-31-14910,1945 E NEWTON ST N,1613.17,,"=IF(H16="""","""",H16-G16)",Not Checked,Not Checked,Not Checked,Research,,16,False,False,False,kept
16,Purple,"$1,500–$2,000",25,53825-02-02-01690,6369 N BOULDER AV W,1693.83,,"=IF(H17="""","""",H17-G17)",Not Checked,Not Checked,Not Checked,Research,,17,False,False,False,kept
17,Green,"$1,500–$2,000",28,40825-02-13-08310,4337 N GARRISON AV E,1697.16,,"=IF(H18="""","""",H18-G18)",Not Checked,Not Checked,Not Checked,Research,,18,False,False,False,kept
18,Green,"$1,500–$2,000",31,24675-03-31-13270,1404 N ST LOUIS AV E,1697.83,,"=IF(H19="""","""",H19-G19)",Not Checked,Not Checked,Not Checked,Research,,19,False,False,False,kept
19,Purple,"$1,500–$2,000",36,56925-92-20-02770,3930 S 61 AV W,1716.68,,"=IF(H20="""","""",H20-G20)",Not Checked,Not Checked,Not Checked,Research,,20,False,False,False,kept
