#,Color,Source,Original Rank,Parcel ID,Address,Opening Bid,Max Bid,Bid Spread,Drive-By Status,Lien/Title Risk,Entitlement/Zoning Risk,Final Decision,Notes,Grade,source_excel_row,red_indicator_detected,strikethrough_detected,crossed_out_indicator_detected,cleaning_action,crime_risk_level,crime_context_summary,crime_data_granularity,crime_source_title,crime_source_url,crime_data_confidence,economic_signal_level,development_match_strength,matched_development_area,matched_project_or_investment,development_source_title,development_source_url,development_summary,development_match_reason,economic_data_confidence,ai_final_score,ai_final_category,ai_bid_priority,ai_summary,ai_key_risks,ai_due_diligence_next_step,ai_confidence,Auction List No,Auction Source Page,Auction Source Sequence
2,Green,"$900–$1,000",1,01875-03-19-00200,2612 N TRENTON AV E,962.57,6000.0,5037.43,Not Checked,Not Checked,Not Checked,Research,,B,3,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 01875-03-19-00200 at 2612 N TRENTON AV E has opening bid 962.57, max bid 6000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,21,3,21
10,Green,"$1,000–$1,500",38,05850-03-30-04070,1844 N TRENTON AV E,1297.53,12000.0,10702.47,Not Checked,Not Checked,Not Checked,Research,,A,11,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 05850-03-30-04070 at 1844 N TRENTON AV E has opening bid 1297.53, max bid 12000.0, grade A, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,82,12,82
32,Green,Manual Review,26,07675-02-13-01140,4018 N GARRISON AV E,3245.67,10000.0,6754.33,Not Checked,Not Checked,Not Checked,Research,,C,33,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,57,Watchlist,Priority 3,"Parcel 07675-02-13-01140 at 4018 N GARRISON AV E has opening bid 3245.67, max bid 10000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,106,16,106
41,Purple,Manual Review,49,10450-03-19-50550,3128 N TROOST PL E,3389.11,17000.0,13610.89,Not Checked,Not Checked,Not Checked,Research,,C,42,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,55,Watchlist,Priority 3,"Parcel 10450-03-19-50550 at 3128 N TROOST PL E has opening bid 3389.11, max bid 17000.0, grade C, color Purple, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,148,22,148
20,Blue,"$1,500–$2,000",41,13850-93-05-10570,2621 E ADMIRAL CT N,1759.82,8000.0,6240.18,Checked ,Not Checked,Not Checked,Research,,C,21,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Positive,Possible Match,Admiral corridor,corridor-level reinvestment context,City of Tulsa planning and corridor resources,https://www.cityoftulsa.org/,"Address appears on or near the Admiral corridor, where corridor-scale planning and reinvestment signals may matter.","Street/corridor name overlap supports only a possible corridor match, not a district-level certainty.",Low,66,Watchlist,Priority 3,"Parcel 13850-93-05-10570 at 2621 E ADMIRAL CT N has opening bid 1759.82, max bid 8000.0, grade C, color Blue, crime risk Medium, and economic signal Positive.",crime context Medium,"Verify title, liens, occupancy, and auction-order assumptions before bidding.",Medium,204,30,204
33,Green,Manual Review,34,17675-02-24-07570,750 E 32 PL N,3310.33,12000.0,8689.67,Not Checked,Not Checked,Not Checked,Research,,C,34,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,57,Watchlist,Priority 3,"Parcel 17675-02-24-07570 at 750 E 32 PL N has opening bid 3310.33, max bid 12000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,251,37,251
29,Purple,Manual Review,16,23125-02-25-15350,1864 N OWASSO AV E,3140.35,15000.0,11859.65,Not Checked,Not Checked,Not Checked,Research,,C,30,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,55,Watchlist,Priority 3,"Parcel 23125-02-25-15350 at 1864 N OWASSO AV E has opening bid 3140.35, max bid 15000.0, grade C, color Purple, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,337,50,337
27,Green,Manual Review,11,23175-03-30-13610,2526 N QUAKER AV E,3115.02,12000.0,8884.98,Not Checked,Not Checked,Not Checked,Research,,B,28,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,57,Watchlist,Priority 3,"Parcel 23175-03-30-13610 at 2526 N QUAKER AV E has opening bid 3115.02, max bid 12000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,342,50,342
18,Green,"$1,500–$2,000",31,24675-03-31-13270,1404 N ST LOUIS AV E,1697.83,10000.0,8302.17,Not Checked,Not Checked,Not Checked,Research,,B,19,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,65,Watchlist,Priority 3,"Parcel 24675-03-31-13270 at 1404 N ST LOUIS AV E has opening bid 1697.83, max bid 10000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,381,56,381
36,Green,Manual Review,38,25375-03-29-05240,3215 E XYLER ST N,3313.8,9000.0,5686.2,Not Checked,Not Checked,Not Checked,Research,,C,37,False,False,False,kept,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low,57,Watchlist,Priority 3,"Parcel 25375-03-29-05240 at 3215 E XYLER ST N has opening bid 3313.8, max bid 9000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low,396,58,396
